1,1,2,3
1,2,3,2
1,3,4,2
1,4,5,4
1,5,6,2
1,6,7,2
1,7,8,3
1,8,9,2
1,9,10,2
1,10,11,5
1,11,12,3
1,12,13,2
1,13,14,2
1,14,15,2
1,15,16,2
1,16,17,2
1,17,18,3
1,18,19,3
1,19,20,3
1,20,21,5
1,21,22,6
1,22,23,4
1,23,24,2
1,24,25,3
1,25,26,4
1,26,27,3
2,16,28,3
2,28,29,3
2,29,9,4
2,9,30,3
2,30,31,3
2,31,32,4
2,32,33,6
2,33,34,2
2,34,35,6
2,35,36,2
2,36,37,7
2,36,38,13
3,39,40,1
3,40,41,2
3,41,42,2
3,42,43,2
3,43,20,3
3,20,44,1
3,44,45,2
3,45,46,2
3,46,47,2
3,47,48,1
3,48,49,2
3,49,50,2
3,50,51,2
3,51,52,3
3,52,53,2
4,54,55,2
4,55,56,2
4,56,57,2
4,57,53,2
4,53,52,2
4,52,58,1
4,58,59,3
4,59,60,2
4,60,61,1
4,61,62,2
4,62,63,2
4,63,64,2
4,64,65,2
4,65,66,2
4,66,67,2
4,67,68,2
5,69,15,2
5,15,49,2
5,49,48,2
5,48,47,1
5,47,70,2
5,70,29,2
5,29,71,2
5,71,72,2
5,72,11,2
5,11,73,2
5,73,74,2
5,74,75,2
5,75,76,2
5,76,77,2
5,77,78,2
5,78,79,2
6,80,81,7
6,81,82,6
6,82,43,4
6,43,19,3
6,19,83,2
6,83,84,2
6,84,85,3
7,86,87,2
7,87,89,4
7,88,89,7
7,79,89,2
7,78,79,2
7,63,78,4
7,62,63,2
8,81,90,4
9,91,92,2
9,92,93,2
9,93,94,2
9,94,52,5
